Sr No,amount
1,200000000.0
2,8048394.0
3,18358860.0
4,3000000.0
5,1800000.0
6,9000000.0
7,150000000.0
8,6000000.0
9,70000000.0
10,50000000.0
11,20000000.0
12,12000000.0
13,30000000.0
14,5900000.0
15,2000000.0
16,50000000.0
17,231000000.0
18,150000000.0
19,486000.0
20,1500000.0
22,12000000.0
23,26000000.0
24,17411265.0
25,1300000.0
26,135000000.0
27,300000.0
28,220000000.0
29,15800000.0
30,283000000.0
31,200000000.0
32,1000000000.0
33,45000000.0
34,585000000.0
36,4500000.0
37,3300000.0
38,6000000.0
39,5000000.0
40,18000000.0
41,1000000.0
42,10000000.0
43,450000000.0
44,5000000.0
45,20000000.0
46,5000000.0
47,1600000.0
48,140000000.0
49,38080000.0
50,125000000.0
51,11000000.0
52,51000000.0
53,37000000.0
54,500000.0
55,110000000.0
56,15000000.0
57,6590000.0
58,1000000.0
60,70000000.0
61,3900000000.0
62,19000000.0
63,2500000.0
64,145000.0
65,1000000.0
66,38080000.0
67,500000.0
68,150000000.0
69,60000000.0
70,16000000.0
71,5750000.0
72,2500000.0
73,1000000.0
74,319605.0
75,51000000.0
76,10000000.0
77,4889975.54
78,9000000.0
79,75000000.0
80,26000000.0
81,2500000.0
82,2739034.68
83,26000000.0
84,15109500.0
85,430200.0
86,15500000.0
87,52000000.0
88,3584000.0
89,3400000.0
91,868600.0
93,150000000.0
94,50000000.0
95,51000000.0
96,140000000.0
97,11500000.0
98,5600000.0
99,45000000.0
100,17000000.0
101,430665.0
102,3591375.0
103,200000.0
104,3500000.0
105,6320820.0
106,2443495.0
107,307000.0
108,26000000.0
109,3000000.0
111,5000000.0
112,3000000.0
114,226000000.0
115,600000.0
116,100000000.0
117,110000000.0
118,22000000.0
119,5000000.0
120,700000.0
121,50000000.0
122,800000.0
123,572000.0
124,143000.0
125,2000000.0
126,3500000.0
127,138995.0
128,27799000.0
129,50000000.0
130,500000.0
131,1000000.0
132,1000000.0
133,1300000.0
134,1000000.0
135,500000.0
136,300000000.0
137,6000000.0
138,278000.0
139,31000000.0
141,3400000.0
142,29500000.0
143,42000000.0
144,1700000.0
146,11000000.0
147,8200000.0
148,3000000.0
149,4000000.0
150,14680000.0
151,12000000.0
152,35000000.0
153,225000000.0
154,6390000.0
155,1000000.0
157,157200000.0
159,100000000.0
